Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur
79,28815.201992307037,352.82043722941864,16372.197177385922,66056.40599174653,1243.8949664400598,84042.6423650825,19418.222420621307,290.7245898005555,15515.601677065704
80,28513.897097336932,356.1740938574666,16726.705907032563,64911.88804733913,1239.446966493905,85284.36437301087,19147.674227452775,291.8245981299997,15806.888676835899
81,28209.441557325543,359.389541099717,17084.49901134877,63772.33619639283,1234.4012588313424,86521.33585142592,18876.146793768134,292.77591130285305,16099.201123933333
82,27901.785820799778,362.4605212061733,17445.436150873218,62637.98332661331,1228.7659856743076,87752.96743105887,18603.713358172543,293.57631870653404,16392.38979579815
83,27591.148929305884,365.3822290189749,17809.370393793364,61509.54727307497,1222.5557978811787,88978.6765782749,18330.554318213563,294.2246615074299,16686.303134748774
84,27277.807315250073,368.15044147730174,18176.14949039048,60387.83107567427,1215.7877474131406,90197.89329704634,18056.872248423762,294.7203023744435,16980.788239971935
85,26961.782052245075,370.7598333260423,18545.61791367181,59273.13144923295,1208.47407645285,91410.06844876059,17782.76623562084,295.0621324059469,17275.692220668025
86,26643.24468134597,373.2061000163452,18917.614800579155,58166.00534427354,1200.6311222525658,92614.66507496573,17508.39448417203,295.2498127366005,17570.861134080416
87,26322.449493874126,375.4857177681068,19291.974613474842,57067.141600642266,1192.2780211055456,93811.16087821977,17233.946894997913,295.2836177635289,17866.14057818444
88,25999.485124998966,377.59448897727583,19668.52901157969,55976.89116019801,1183.4306320777703,94999.05525589934,16959.545192334554,295.1635821477489,18161.376928759033
89,25674.514040896705,379.52892918711467,20047.10561058381,54895.71966281591,1174.1071354270057,96177.86390047992,16685.338846231032,294.89029792985525,18456.416737025655
90,25347.797062103476,381.2865254774927,20427.528117356327,53824.2537893265,1164.328822142486,97347.11874051501,16411.514692464938,294.465045822899,18751.10697517572
91,25019.470159779485,382.86430823419056,20809.618322412152,52762.859333242195,1154.1143020769666,98506.37464876787,16138.207144312346,293.88896363286847,19045.29632019656
92,24689.624527258184,384.25929066278655,21193.19579002459,51711.79267979933,1143.4812613452823,99655.20767818467,15865.530221124787,293.1632934292576,19338.835037133227
93,24358.565827907027,385.47035275520045,21578.076289758275,50671.6913127144,1132.453548637299,100793.20822703598,15593.681389811127,292.29043400471625,19631.574232540443
94,24026.513396429953,386.49619757375797,21964.074545767497,49643.00548612913,1121.053108192075,101919.98991937097,15322.820660563006,291.27276247475953,19923.36751219006
95,23693.511991183317,387.3345514549422,22351.00528895967,48625.83155660528,1109.297065883227,103035.19260443292,15053.035062481264,290.1121821200874,20214.071619393835
96,23359.76657037923,387.98469343768295,22738.680914347722,47620.54563748091,1097.2071582163735,104138.47268998969,14784.47289360463,288.81153096301665,20503.54518829693
97,23025.58843406446,388.4472077382697,23126.912302475423,46627.70250467467,1084.8085063916342,105229.50468525915,14517.321958373843,287.3744156270174,20791.649287005304
98,22691.074056317073,388.72132512211914,23515.512005591558,45647.42872011415,1072.1198878655348,106307.99121649103,14251.680559336617,285.8037227098992,21078.24920462883
99,22356.38678768412,388.80717505109715,23904.292118561145,44679.95606214642,1059.1619690091504,107373.65436405977,13987.670504067411,284.10286121749283,21363.213298846742
100,22021.802243279788,388.7062954620412,24293.06425386001,43725.708337854914,1045.9589180923008,108426.2339980239,13725.455238455383,282.2760199932448,21646.41301193674
101,21687.45481186459,388.41936810465006,24681.642343670195,42784.82274025162,1032.530364263156,109465.49587054132,13465.138025432192,280.32691200771035,21927.72439396958
102,21353.497782462917,387.9475952973409,25069.841427931693,41857.45343681829,1018.8962913851515,110491.22631489551,13206.826194063407,278.2595209982595,22207.027433878422
103,21020.191775878637,387.2936158660204,25457.47711761147,40943.93992046959,1005.0800618163605,111503.22887566267,12950.666605277063,276.0785793276072,22484.205759549477
104,20687.69769422919,386.4595050868408,25844.368194610142,40044.41652154052,991.1015416988364,112501.33103693233,12696.762509096046,273.7884713376232,22759.147981977392
105,20356.111679707858,385.4470016777305,26230.336494253646,39158.87908699959,976.9780075828612,113485.38294116582,12445.187577023045,271.39335437680484,23031.74760251554
106,20025.694032076764,384.2599165431393,26615.20478054903,38287.61929406332,962.7321066551293,114455.24877232994,12196.077818904057,268.8984337274014,23301.901833509997
