Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
156,36567.722250651124,897.3118629315662,99443.29719466579,136167.87912596946,352677.8999214432,0.2819663415734759,1594.3939393939395,111726.38481686903,86193.58188671868,2399.3638680092627,421121.24907912186,507641.17933790426,1796750.0410143393,0.2343794292284427,12069.818181818182,446802.3288629471,34276.875496818066,866.6603956596305,104785.36631614107,139144.65370399653,917725.7052480001,0.1141793955611438,1751.3838383838383,125088.92140650666,3067153.6461837827,625349.9125899287,0.2038860731245082
157,35832.98010606293,886.097665520302,100335.01054365754,136324.9592335386,353084.7409680432,0.28416694040238516,1594.3939393939395,111726.38481686903,84143.50420922838,2353.929471364164,423497.8562995779,507967.82078848535,1797906.1588858129,0.23555058989398275,12069.818181818182,446802.3288629471,33499.29616711801,853.403205908683,105645.40373841875,139227.14107623836,918269.7490171967,0.1150483328580612,1751.3838383838383,125088.92140650666,3069260.648871053,629478.2705816542,0.2050911742582668
158,35109.53826276932,874.7732554540316,101215.45580700536,136482.18119434093,353491.94941773935,0.2863302996679959,1594.3939393939395,111726.38481686903,82138.57752125122,2308.9395345702414,425829.2561159711,508294.6461653143,1799062.9277476058,0.23669503136785858,12069.818181818182,446802.3288629471,32734.994784372593,840.078053756221,106492.15006726448,139309.67588267862,918814.1056376749,0.11590173617693521,1751.3838383838383,125088.92140650666,3071368.9828030197,633536.8619902409,0.20627181740047948
159,34397.68901536703,863.3575696101814,102084.5289638118,136639.5451364788,353899.52560231957,0.28845624698159444,1594.3939393939395,111726.38481686903,80178.7607085251,2264.431139436883,428115.90249161597,508621.65557195694,1800220.34796628,0.23781305603797953,12069.818181818182,446802.3288629471,31984.13591580912,826.7035995987831,107325.54479798608,139392.25815059428,919358.7752893389,0.11673956640508357,1751.3838383838383,125088.92140650666,3073478.6488579386,637525.9762534138,0.20742814546322275
160,33697.530514004095,851.8659822068618,102942.1445084225,136797.05118817036,354307.46985387185,0.2905446632295934,1594.3939393939395,111726.38481686903,78263.5922375755,2220.430284539024,430358.2845214451,508948.84911203734,1801378.4199086032,0.23890498507430785,12069.818181818182,446802.3288629471,31246.768827904256,813.2961157620971,108145.54561232915,139474.8879072779,919903.7581521966,0.11756180432348733,1751.3838383838383,125088.92140650666,3075589.647914672,641445.9746421968,0.2085603243843383
161,33008.90821416204,840.3088945870086,103788.23651350179,136954.6994777495,354715.7825047837,0.29259548526601603,1594.3939393939395,111726.38481686903,76392.0616793003,2176.948330284845,432556.92879573465,509276.2268892379,1802537.1439415498,0.23997115967878274,12069.818181818182,446802.3288629471,30522.79523591597,799.8686526500983,108952.1288413985,139557.5651800379,920449.0544063599,0.1183684510509566,1751.3838383838383,125088.92140650666,3077701.9808526933,645297.2941506349,0.2096685443117049
162,32331.96542195628,828.702168456273,104622.74751803752,137112.49013366597,355124.4638877431,0.2946086743016087,1594.3939393939395,111726.38481686903,74563.82491179704,2134.0111430142465,434712.3675816368,509603.78900729923,1803696.5204323009,0.24101192337913208,12069.818181818182,446802.3288629471,29812.27444680286,786.4371585673491,109745.28260267804,139640.28999619817,920994.6642320433,0.1191595205322795,1751.3838383838383,125088.92140650666,3079815.648552087,649080.3977023524,0.21075300335184163
163,31666.94820230972,817.063643110274,105445.6316010901,137270.42328448553,355533.5143357382,0.29658422441017884,1594.3939393939395,111726.38481686903,72778.77505496949,2091.649256884643,436825.1466480102,509931.5355700208,1804856.5497482447,0.2420276263556469,12069.818181818182,446802.3288629471,29115.31575428816,773.0184281849964,110525.00822846664,139723.0623830986,921540.587809566,0.1199350410503095,1751.3838383838383,125088.92140650666,3081930.6518935487,652795.7864775669,0.21181391154161336
164,31013.709380870154,805.4032858973685,106256.86404228979,137428.49905889004,355942.934182058,0.29852218948091674,1594.3939393939395,111726.38481686903,71035.9496886078,2049.870986371007,438895.85114196345,510259.4666812601,1806017.2322569757,0.24301863974657445,12069.818181818182,446802.3288629471,28431.8041554573,759.6243237843307,111291.32562864799,139805.88236809452,922086.8253193499,0.12069506099938478,1751.3838383838383,125088.92140650666,3084046.9917583833,656444.0408129012,0.21285150406823947
165,30372.12298369674,793.7311130062493,107056.4327413138,137586.71758567766,356352.7237602925,0.30042265879614083,1594.3939393939395,111726.38481686903,69334.44504793777,2008.6844867433983,440925.0817487638,510587.5824449334,1807178.5683262963,0.24398534238767725,12069.818181818182,446802.3288629471,27761.630007962896,746.2664206955526,112044.26805353095,139888.7499785572,922633.3769419214,0.12143964314937632,1751.3838383838383,125088.92140650666,3086164.6690285103,660025.7825436086,0.21386602898003404
