;CN(alto);SR(medio);AT(bajo);;;;;;;;;;;;
tiempo;emision [tCO2/MWh];emision [tCO2/MWh];emision [tCO2/MWh];;;;;;;;;;;;
277;0.0058;0.0138;0.0047;;;;;;;;;;;;
278;0.0057;0.0138;0.0046;;;;;;;;;;;;
279;0.0057;0.0138;0.0046;;;;;;;;;;;;
280;0.0057;0.0138;0.0045;;;;;;;;;;;;
281;0.0056;0.0138;0.0045;;;;;;;;;;;;
282;0.0056;0.0138;0.0044;;;;;;;;;;;;
283;0.0056;0.0138;0.0043;;;;;;;;;;;;
284;0.0056;0.0139;0.0043;;;;;;;;;;;;
285;0.0055;0.0139;0.0042;;;;;;;;;;;;
286;0.0055;0.0139;0.0041;;;;;;;;;;;;
287;0.0055;0.0139;0.0041;;;;;;;;;;;;
288;0.0054;0.0139;0.004;;;;;;;;;;;;
289;0.0054;0.0139;0.004;;;;;;;;;;;;
290;0.0054;0.014;0.0039;;;;;;;;;;;;
291;0.0054;0.014;0.0039;;;;;;;;;;;;
292;0.0053;0.014;0.0038;;;;;;;;;;;;
293;0.0053;0.014;0.0038;;;;;;;;;;;;
294;0.0053;0.014;0.0037;;;;;;;;;;;;
295;0.0053;0.014;0.0036;;;;;;;;;;;;
296;0.0052;0.014;0.0036;;;;;;;;;;;;
297;0.0052;0.0141;0.0035;;;;;;;;;;;;
298;0.0052;0.0141;0.0035;;;;;;;;;;;;
299;0.0052;0.0141;0.0034;;;;;;;;;;;;
300;0.0051;0.0141;0.0034;;;;;;;;;;;;
301;0.0051;0.0141;0.0034;;;;;;;;;;;;
302;0.0051;0.0141;0.0033;;;;;;;;;;;;
303;0.005;0.0141;0.0033;;;;;;;;;;;;
304;0.005;0.0142;0.0032;;;;;;;;;;;;
305;0.005;0.0142;0.0032;;;;;;;;;;;;
306;0.005;0.0142;0.0031;;;;;;;;;;;;
307;0.0049;0.0142;0.0031;;;;;;;;;;;;
308;0.0049;0.0142;0.003;;;;;;;;;;;;
309;0.0049;0.0142;0.003;;;;;;;;;;;;
310;0.0049;0.0143;0.0029;;;;;;;;;;;;
311;0.0048;0.0143;0.0029;;;;;;;;;;;;
312;0.0048;0.0143;0.0029;;;;;;;;;;;;
313;0.0048;0.0143;0.0028;;;;;;;;;;;;
314;0.0048;0.0143;0.0028;;;;;;;;;;;;
315;0.0048;0.0143;0.0027;;;;;;;;;;;;
316;0.0047;0.0143;0.0027;;;;;;;;;;;;
317;0.0047;0.0144;0.0027;;;;;;;;;;;;
318;0.0047;0.0144;0.0026;;;;;;;;;;;;
319;0.0047;0.0144;0.0026;;;;;;;;;;;;
320;0.0046;0.0144;0.0026;;;;;;;;;;;;
321;0.0046;0.0144;0.0025;;;;;;;;;;;;
322;0.0046;0.0144;0.0025;;;;;;;;;;;;
323;0.0046;0.0145;0.0025;;;;;;;;;;;;
324;0.0045;0.0145;0.0024;;;;;;;;;;;;
