Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
120,68449.24238878133,1095.973287719612,62013.44132420658,130614.63258929047,338294.86525223055,0.18331180190385019,1594.3939393939395,111726.38481686903,190661.9985460378,3942.7206628034464,305032.5643949887,496014.52332414896,1755598.543618441,0.17374847199764137,12069.818181818182,446802.3288629471,69152.91296212214,1145.6612949062408,66975.57991180554,136209.25737074774,898365.3590298559,0.07455271871138533,1751.3838383838383,125088.92140650666,2992258.7679005275,434021.5856310008,0.14504814566406146
121,67504.14513857498,1098.4978119240473,63110.719135033636,130766.76644827292,338688.8954026395,0.18633831811936574,1594.3939393939395,111726.38481686903,187053.41236935614,3915.0088692906365,308961.5587013387,496334.7081392351,1756731.8088125463,0.17587292331786242,12069.818181818182,446802.3288629471,68087.68775563358,1146.4475276129301,68121.68298921242,136290.07998541318,898898.4229246543,0.07578351597010465,1751.3838383838383,125088.92140650666,2994319.1271398403,440193.9608255848,0.14700970141618006
122,66556.59336655289,1100.486776428887,64210.256493002955,130919.03775576748,339083.28154781694,0.18936426532119702,1594.3939393939395,111726.38481686903,183472.79695874988,3885.6729867113754,312862.03362229123,496655.07329571625,1757865.7123087083,0.1779783469417531,12069.818181818182,446802.3288629471,67021.83747796186,1146.6338772927986,69268.27388639377,136370.9490903273,899431.7934449331,0.07701337043144524,1751.3838383838383,125088.92140650666,2996380.7873014584,446340.5640016879,0.14895989384702416
123,65607.55970506056,1101.9420897082261,65311.51591770373,131071.44663595487,339478.02400939364,0.19238805253531374,1594.3939393939395,111726.38481686903,179922.7039052595,3854.786624465598,316732.3918508806,496975.6188951683,1759000.254466446,0.18006386926132334,12069.818181818182,446802.3288629471,65956.20279929378,1146.2234357790783,70414.75246941869,136451.86471223197,899965.4707670673,0.07824161565821199,1751.3838383838383,125088.92140650666,2998443.749242907,452458.660238003,0.15089783170094376
124,64657.64957403046,1102.864049696447,66413.96209720356,131223.99321312798,339873.1231092911,0.19540810255786892,1594.3939393939395,111726.38481686903,176404.8109793895,3822.415296632265,320571.10921946994,497296.34503922414,1760135.4356454792,0.18212866051521182,12069.818181818182,446802.3288629471,64891.418920590535,1145.218966172255,71560.52225532586,136532.82687788433,900499.4550675333,0.07946759084930169,1751.3838383838383,125088.92140650666,3000508.013822303,458545.5935719994,0.15282265251738653
125,63707.01464509945,1103.2501036337328,67517.06389520109,131376.67761169202,340268.57916972163,0.19842285779059382,1594.3939393939395,111726.38481686903,172919.7315630319,3788.6122078375674,324376.73986398254,497617.2518295739,1761271.2562057315,0.18417193758261877,12069.818181818182,446802.3288629471,63827.86717068326,1143.622156683375,72704.99208247001,136613.83561405702,901033.7465229095,0.08069064267907687,1751.3838383838383,125088.92140650666,3002573.581898363,464598.7958416536,0.15473352548046906
126,62756.43801536085,1103.1042129769662,68620.28567722837,131529.49995616465,340664.39251318877,0.2014307546820343,1594.3939393939395,111726.38481686903,169469.40856718013,3753.4514221082313,328147.88348246575,497938.3393679653,1762407.7165073296,0.18619294525830626,12069.818181818182,446802.3288629471,62766.274695635926,1141.4391522975454,73847.57157498124,136694.89094753796,901568.3453098751,0.08191012024673441,1751.3838383838383,125088.92140650666,3004640.454330393,470615.7407346753,0.15662963602064514
127,61806.53099332036,1102.430107037521,69723.09581674892,131682.46037117596,341060.56346248725,0.2044302487186199,1594.3939393939395,111726.38481686903,166055.34437936096,3717.0034268909526,331883.21228907077,498259.60775620304,1763544.816910602,0.18819097144946256,12069.818181818182,446802.3288629471,61707.26933379323,1138.676541389661,74987.67690543966,136775.99290513058,902103.2516052115,0.08312538145939041,1751.3838383838383,125088.92140650666,3006708.6319783004,476593.9850112593,0.15851019947272993
128,60857.56406844528,1101.2294035855755,70824.96944562817,131835.55898146864,341457.0923407036,0.2074198223856469,1594.3939393939395,111726.38481686903,162678.2289923504,3679.3286554983624,335581.4781697199,498581.0570961492,1764682.55777608,0.19016535109443847,12069.818181818182,446802.3288629471,60651.28559119674,1135.3402233662432,76124.732889901,136857.14151365365,902638.4655858016,0.08433579532919303,1751.3838383838383,125088.92140650666,3008778.1157025853,482531.18050524907,0.16037446496534769
129,59910.19875677107,1099.5084598867281,71925.3822307256,131988.79591189814,341853.97947121615,0.21039796682191808,1594.3939393939395,111726.38481686903,159339.55544731885,3640.501207391301,339241.48880607245,498902.68748972344,1765820.9394644997,0.19211545249256717,12069.818181818182,446802.3288629471,59598.96898831674,1131.439443628851,77258.1698086908,136938.3367999415,903173.9874286302,0.08554073842255762,1751.3838383838383,125088.92140650666,3010848.906364346,488425.04084548884,0.162221704255253
